year,event_id,event_type,start_time,end_time,duration_hours,periods_in_event,max_price,min_price,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,time_of_max_price,time_band_at_max_price,regime_group,price_before_event,price_after_event,price_change_from_previous,research_note,likely_internal_driver,external_check_window_start,external_check_window_end,api_from,api_to,event_priority_rank
2025,2025_negative_price_cluster_169,negative_price_cluster,2025-08-06 13:30:00+00:00,2025-08-06 13:30:00+00:00,0.5,1,-8.361494594412477,-8.361494594412477,-8.361494594412477,-255.631737,4528.0,1952.0,7268.0,2025-08-06 13:30:00+00:00,midday,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-08-06 11:30:00+00:00,2025-08-06 15:30:00+00:00,2025-08-06T11:30:00Z,2025-08-06T15:30:00Z,5
2025,2025_negative_price_cluster_111,negative_price_cluster,2025-06-17 13:30:00+00:00,2025-06-17 13:30:00+00:00,0.5,1,-8.42,-8.42,-8.42,-204.40555694444444,6051.0,1660.0,4788.0,2025-06-17 13:30:00+00:00,midday,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-06-17 11:30:00+00:00,2025-06-17 15:30:00+00:00,2025-06-17T11:30:00Z,2025-06-17T15:30:00Z,5
2025,2025_negative_price_cluster_161,negative_price_cluster,2025-08-04 19:30:00+00:00,2025-08-04 19:30:00+00:00,0.5,1,-8.507435730297171,-8.507435730297171,-8.507435730297171,-161.09662130741648,13784.0,4642.0,-550.0,2025-08-04 19:30:00+00:00,evening_peak,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-08-04 17:30:00+00:00,2025-08-04 21:30:00+00:00,2025-08-04T17:30:00Z,2025-08-04T21:30:00Z,5
2025,2025_negative_price_cluster_157,negative_price_cluster,2025-08-03 13:00:00+00:00,2025-08-03 14:30:00+00:00,2.0,4,-8.52,-43.72,-29.2975,-614.5481816196236,7708.25,2500.0,4867.5,2025-08-03 13:00:00+00:00,midday,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-08-03 11:00:00+00:00,2025-08-03 16:30:00+00:00,2025-08-03T11:00:00Z,2025-08-03T16:30:00Z,5
2025,2025_negative_price_cluster_82,negative_price_cluster,2025-05-26 03:00:00+00:00,2025-05-26 03:30:00+00:00,1.0,2,-8.6353245053511,-9.536393727822404,-9.085859116586752,-374.7223104285381,14116.5,3148.5,-4592.0,2025-05-26 03:00:00+00:00,night,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-05-26 01:00:00+00:00,2025-05-26 05:30:00+00:00,2025-05-26T01:00:00Z,2025-05-26T05:30:00Z,5
2025,2025_negative_price_cluster_117,negative_price_cluster,2025-06-23 11:00:00+00:00,2025-06-23 12:30:00+00:00,2.0,4,-8.72,-17.85,-14.5875,-393.58908896875,12327.0,2059.25,1616.5,2025-06-23 12:30:00+00:00,midday,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-06-23 09:00:00+00:00,2025-06-23 14:30:00+00:00,2025-06-23T09:00:00Z,2025-06-23T14:30:00Z,5
2025,2025_negative_price_cluster_266,negative_price_cluster,2025-10-25 08:00:00+00:00,2025-10-25 08:00:00+00:00,0.5,1,-8.77,-8.77,-8.77,-26.28516115740741,16636.0,3977.0,1030.0,2025-10-25 08:00:00+00:00,morning_ramp,oct_mixed_transition,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+lower_interconnector_support,2025-10-25 06:00:00+00:00,2025-10-25 10:00:00+00:00,2025-10-25T06:00:00Z,2025-10-25T10:00:00Z,5
2025,2025_negative_price_cluster_269,negative_price_cluster,2025-10-25 22:00:00+00:00,2025-10-25 22:00:00+00:00,0.5,1,-8.77,-8.77,-8.77,-62.26489097222223,16442.0,3273.0,-104.0,2025-10-25 22:00:00+00:00,late_evening,oct_mixed_transition,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+lower_interconnector_support,2025-10-25 20:00:00+00:00,2025-10-26 00:00:00+00:00,2025-10-25T20:00:00Z,2025-10-26T00:00:00Z,5
2025,2025_negative_price_cluster_292,negative_price_cluster,2025-11-29 20:00:00+00:00,2025-11-29 20:00:00+00:00,0.5,1,-8.77,-8.77,-8.77,-170.95937958333334,15121.0,4478.0,3562.0,2025-11-29 20:00:00+00:00,late_evening,nov_dec_quiet,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance,2025-11-29 18:00:00+00:00,2025-11-29 22:00:00+00:00,2025-11-29T18:00:00Z,2025-11-29T22:00:00Z,5
2025,2025_negative_price_cluster_212,negative_price_cluster,2025-09-10 20:30:00+00:00,2025-09-10 20:30:00+00:00,0.5,1,-8.87346334481031,-8.87346334481031,-8.87346334481031,-471.2351340574268,15234.0,3773.0,3354.0,2025-09-10 20:30:00+00:00,late_evening,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance,2025-09-10 18:30:00+00:00,2025-09-10 22:30:00+00:00,2025-09-10T18:30:00Z,2025-09-10T22:30:00Z,5
2025,2025_negative_price_cluster_267,negative_price_cluster,2025-10-25 09:00:00+00:00,2025-10-25 09:30:00+00:00,1.0,2,-8.93949693311065,-10.98,-9.959748466555325,-213.0055668120648,16674.5,3500.5,1466.0,2025-10-25 09:30:00+00:00,morning_ramp,oct_mixed_transition,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-10-25 07:00:00+00:00,2025-10-25 11:30:00+00:00,2025-10-25T07:00:00Z,2025-10-25T11:30:00Z,5
2025,2025_negative_price_cluster_209,negative_price_cluster,2025-09-10 09:30:00+00:00,2025-09-10 11:00:00+00:00,2.0,4,-8.942396633215857,-41.5,-17.235599158303962,-648.02515125,14315.5,2498.75,4557.0,2025-09-10 11:00:00+00:00,midday,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+higher_interconnector_support,2025-09-10 07:30:00+00:00,2025-09-10 13:00:00+00:00,2025-09-10T07:30:00Z,2025-09-10T13:00:00Z,5
2025,2025_negative_price_cluster_129,negative_price_cluster,2025-06-27 16:00:00+00:00,2025-06-27 16:00:00+00:00,0.5,1,-9.0,-9.0,-9.0,-173.44103512985546,12053.0,3633.0,-104.0,2025-06-27 16:00:00+00:00,evening_peak,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-06-27 14:00:00+00:00,2025-06-27 18:00:00+00:00,2025-06-27T14:00:00Z,2025-06-27T18:00:00Z,5
2025,2025_negative_price_cluster_242,negative_price_cluster,2025-09-21 05:30:00+00:00,2025-09-21 07:30:00+00:00,2.5,5,-9.032022436994067,-17.35,-12.622404487398814,-498.1584386994949,12111.8,3746.6,1634.4,2025-09-21 07:30:00+00:00,morning_ramp,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-21 03:30:00+00:00,2025-09-21 09:30:00+00:00,2025-09-21T03:30:00Z,2025-09-21T09:30:00Z,5
2025,2025_negative_price_cluster_234,negative_price_cluster,2025-09-16 08:00:00+00:00,2025-09-16 09:00:00+00:00,1.5,3,-9.290044444444444,-17.35,-13.469139211977842,-306.51300598765437,14134.666666666666,3997.0,2825.3333333333335,2025-09-16 09:00:00+00:00,morning_ramp,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance,2025-09-16 06:00:00+00:00,2025-09-16 11:00:00+00:00,2025-09-16T06:00:00Z,2025-09-16T11:00:00Z,5
2025,2025_negative_price_cluster_110,negative_price_cluster,2025-06-16 13:30:00+00:00,2025-06-16 13:30:00+00:00,0.5,1,-9.306285572682665,-9.306285572682665,-9.306285572682665,-242.91479541666664,5703.0,2528.0,5766.0,2025-06-16 13:30:00+00:00,midday,jun_mixed_tail,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-06-16 11:30:00+00:00,2025-06-16 15:30:00+00:00,2025-06-16T11:30:00Z,2025-06-16T15:30:00Z,5
2025,2025_negative_price_cluster_222,negative_price_cluster,2025-09-12 05:00:00+00:00,2025-09-12 06:00:00+00:00,1.5,3,-9.329161269896751,-12.71821971799731,-11.149126995964687,-466.79562422826785,15459.333333333334,4211.666666666667,-936.0,2025-09-12 05:30:00+00:00,night,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-12 03:00:00+00:00,2025-09-12 08:00:00+00:00,2025-09-12T03:00:00Z,2025-09-12T08:00:00Z,5
2025,2025_negative_price_cluster_59,negative_price_cluster,2025-04-13 12:30:00+00:00,2025-04-13 14:00:00+00:00,2.0,4,-9.5,-10.0,-9.8125,-418.34883260787325,5479.5,2190.75,6232.5,2025-04-13 12:30:00+00:00,midday,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-04-13 10:30:00+00:00,2025-04-13 16:00:00+00:00,2025-04-13T10:30:00Z,2025-04-13T16:00:00Z,5
2025,2025_negative_price_cluster_58,negative_price_cluster,2025-04-12 11:30:00+00:00,2025-04-12 14:30:00+00:00,3.5,7,-9.75,-37.66,-22.941428571428567,-203.4650964886816,7627.142857142857,2086.5714285714284,5055.714285714285,2025-04-12 11:30:00+00:00,midday,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance+higher_interconnector_support,2025-04-12 09:30:00+00:00,2025-04-12 16:30:00+00:00,2025-04-12T09:30:00Z,2025-04-12T16:30:00Z,5
2025,2025_negative_price_cluster_53,negative_price_cluster,2025-04-05 03:00:00+00:00,2025-04-05 03:00:00+00:00,0.5,1,-9.79,-9.79,-9.79,-365.5354161111111,9430.0,2773.0,2510.0,2025-04-05 03:00:00+00:00,night,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",negative_imbalance,2025-04-05 01:00:00+00:00,2025-04-05 05:00:00+00:00,2025-04-05T01:00:00Z,2025-04-05T05:00:00Z,5
2025,2025_negative_price_cluster_61,negative_price_cluster,2025-04-14 09:00:00+00:00,2025-04-14 09:00:00+00:00,0.5,1,-10.0,-10.0,-10.0,-400.8982238068783,8017.0,3484.0,5356.0,2025-04-14 09:00:00+00:00,morning_ramp,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",negative_imbalance+higher_interconnector_support,2025-04-14 07:00:00+00:00,2025-04-14 11:00:00+00:00,2025-04-14T07:00:00Z,2025-04-14T11:00:00Z,5
2025,2025_negative_price_cluster_198,negative_price_cluster,2025-09-06 09:00:00+00:00,2025-09-06 17:00:00+00:00,8.5,17,-10.0,-87.0,-43.78116135366269,-1116.9223831562267,8541.882352941177,2859.8823529411766,4071.6470588235293,2025-09-06 09:00:00+00:00,morning_ramp,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",negative_imbalance,2025-09-06 07:00:00+00:00,2025-09-06 19:00:00+00:00,2025-09-06T07:00:00Z,2025-09-06T19:00:00Z,5
2025,2025_negative_price_cluster_215,negative_price_cluster,2025-09-11 03:00:00+00:00,2025-09-11 05:00:00+00:00,2.5,5,-10.0,-17.48,-15.984,-401.4573205648148,14730.8,3105.4,-692.0,2025-09-11 05:00:00+00:00,night,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-09-11 01:00:00+00:00,2025-09-11 07:00:00+00:00,2025-09-11T01:00:00Z,2025-09-11T07:00:00Z,5
2025,2025_negative_price_cluster_229,negative_price_cluster,2025-09-15 01:00:00+00:00,2025-09-15 01:00:00+00:00,0.5,1,-10.0,-10.0,-10.0,-97.92057013888888,13855.0,3318.0,-1620.0,2025-09-15 01:00:00+00:00,night,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+lower_interconnector_support,2025-09-14 23:00:00+00:00,2025-09-15 03:00:00+00:00,2025-09-14T23:00:00Z,2025-09-15T03:00:00Z,5
2025,2025_negative_price_cluster_250,negative_price_cluster,2025-10-04 14:30:00+00:00,2025-10-04 16:00:00+00:00,2.0,4,-10.0,-16.98,-11.745000000000001,-465.96449483630954,15723.25,3137.5,1113.5,2025-10-04 15:00:00+00:00,afternoon,oct_mixed_transition,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-10-04 12:30:00+00:00,2025-10-04 18:00:00+00:00,2025-10-04T12:30:00Z,2025-10-04T18:00:00Z,5
2025,2025_negative_price_cluster_72,negative_price_cluster,2025-05-17 11:00:00+00:00,2025-05-17 14:30:00+00:00,4.0,8,-10.110196078431372,-15.9,-13.707524509803921,-511.5655663736967,6074.125,2027.625,2731.5,2025-05-17 14:00:00+00:00,afternoon,apr_may_surplus_shift,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",low_wind+negative_imbalance,2025-05-17 09:00:00+00:00,2025-05-17 16:30:00+00:00,2025-05-17T09:00:00Z,2025-05-17T16:30:00Z,5
2025,2025_negative_price_cluster_160,negative_price_cluster,2025-08-04 12:30:00+00:00,2025-08-04 16:00:00+00:00,4.0,8,-10.38,-17.29,-13.841700126603214,-160.03302558779762,14942.875,3305.5,1054.0,2025-08-04 13:30:00+00:00,midday,jul_sep_surplus,,,,"Candidate negative-price event. Check high wind, low gas, negative imbalance, and whether surplus conditions were reinforced by system context.",high_wind+negative_imbalance+lower_interconnector_support,2025-08-04 10:30:00+00:00,2025-08-04 18:00:00+00:00,2025-08-04T10:30:00Z,2025-08-04T18:00:00Z,5
